"","Month","Year","Species","Count"
"62",9,1986,"Long-Tailed Duck",2
"63",10,1986,"Long-Tailed Duck",5
"64",11,1986,"Long-Tailed Duck",1299
"65",12,1986,"Long-Tailed Duck",1341
"66",1,1987,"Long-Tailed Duck",1239
"67",11,1987,"Long-Tailed Duck",182
"68",1,1988,"Long-Tailed Duck",1337
"69",4,1988,"Long-Tailed Duck",5
"70",10,1988,"Long-Tailed Duck",3
"71",11,1988,"Long-Tailed Duck",298
"72",12,1988,"Long-Tailed Duck",502
"73",1,1989,"Long-Tailed Duck",1101
"74",10,1989,"Long-Tailed Duck",230
"75",11,1989,"Long-Tailed Duck",830
"76",12,1989,"Long-Tailed Duck",1764
"77",1,1990,"Long-Tailed Duck",1984
"78",11,1990,"Long-Tailed Duck",1626
"79",12,1990,"Long-Tailed Duck",4
"80",1,1991,"Long-Tailed Duck",1107
"81",4,1991,"Long-Tailed Duck",52
"82",5,1991,"Long-Tailed Duck",3
"83",11,1991,"Long-Tailed Duck",512
"84",12,1991,"Long-Tailed Duck",1084
"85",1,1992,"Long-Tailed Duck",682
"86",4,1992,"Long-Tailed Duck",1
"87",11,1992,"Long-Tailed Duck",542
"88",12,1992,"Long-Tailed Duck",409
"89",1,1993,"Long-Tailed Duck",823
"90",4,1993,"Long-Tailed Duck",2
"91",10,1993,"Long-Tailed Duck",622
"92",11,1993,"Long-Tailed Duck",5853
"93",12,1993,"Long-Tailed Duck",1379
"94",1,1994,"Long-Tailed Duck",459
"95",3,1994,"Long-Tailed Duck",295
"96",4,1994,"Long-Tailed Duck",6
"97",11,1994,"Long-Tailed Duck",3195
"98",12,1994,"Long-Tailed Duck",20
"99",1,1995,"Long-Tailed Duck",6530
"100",3,1995,"Long-Tailed Duck",4
"101",4,1995,"Long-Tailed Duck",3
"102",10,1995,"Long-Tailed Duck",5
"103",11,1995,"Long-Tailed Duck",3451
"104",12,1995,"Long-Tailed Duck",890
"105",1,1996,"Long-Tailed Duck",424
"106",11,1996,"Long-Tailed Duck",881
"107",12,1996,"Long-Tailed Duck",32
"108",1,1997,"Long-Tailed Duck",2214
"109",11,1997,"Long-Tailed Duck",954
"110",12,1997,"Long-Tailed Duck",3690
"111",1,1998,"Long-Tailed Duck",5545
"112",3,1998,"Long-Tailed Duck",5
"113",4,1998,"Long-Tailed Duck",28
"114",10,1998,"Long-Tailed Duck",2
"115",11,1998,"Long-Tailed Duck",2784
"116",12,1998,"Long-Tailed Duck",13124
"117",1,1999,"Long-Tailed Duck",16052
"118",3,1999,"Long-Tailed Duck",27934
"119",4,1999,"Long-Tailed Duck",17162
"120",5,1999,"Long-Tailed Duck",311
"121",10,1999,"Long-Tailed Duck",158
"122",11,1999,"Long-Tailed Duck",45633
"123",12,1999,"Long-Tailed Duck",124
"124",1,2000,"Long-Tailed Duck",31159
"125",3,2000,"Long-Tailed Duck",40
"126",4,2000,"Long-Tailed Duck",14
"127",10,2000,"Long-Tailed Duck",64260
"128",11,2000,"Long-Tailed Duck",15195
"129",12,2000,"Long-Tailed Duck",9661
"130",1,2001,"Long-Tailed Duck",3596
"131",3,2001,"Long-Tailed Duck",8167
"132",4,2001,"Long-Tailed Duck",12076
"133",5,2001,"Long-Tailed Duck",77
"134",10,2001,"Long-Tailed Duck",2
"135",11,2001,"Long-Tailed Duck",237
"136",1,2002,"Long-Tailed Duck",2805
"137",3,2002,"Long-Tailed Duck",8
"138",4,2002,"Long-Tailed Duck",20
"139",10,2002,"Long-Tailed Duck",21
"140",1,2003,"Long-Tailed Duck",157
"141",3,2003,"Long-Tailed Duck",19
"142",4,2003,"Long-Tailed Duck",2
"143",11,2003,"Long-Tailed Duck",2210
"144",1,2004,"Long-Tailed Duck",1243
