"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-75.70","44.60","BROCKVILLE","6100969","1878-03","1878","03","6.9","","-3.1","","1.9","","14.4","","-15.0","S","23.1","","65.3","","88.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-04","1878","04","14.9","","5.3","","10.1","","24.4","","0.0","","54.1","","0.0","","54.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-05","1878","05","17.8","","6.9","","12.4","","24.4","","0.0","","49.3","","0.0","","49.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-06","1878","06","23.4","","11.4","","17.4","","33.3","","1.1","","84.6","","0.0","","84.6","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-07","1878","07","28.2","","16.4","","22.3","","34.4","","9.4","","88.4","","0.0","","88.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-08","1878","08","26.4","","15.6","","21.0","","30.0","","8.9","","147.3","","0.0","","147.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-09","1878","09","21.8","","11.9","","16.9","","28.3","","-1.1","","80.3","","0.0","","80.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-10","1878","10","15.1","","5.8","","10.5","","25.0","","-0.6","","98.3","","6.9","","105.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-11","1878","11","4.6","","-1.6","","1.5","","10.0","S","-7.2","","67.1","","46.7","","113.8","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1878-12","1878","12","-2.3","","-9.0","","-5.7","","6.7","","-18.9","","26.7","","90.4","","117.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-01","1879","01","-4.6","","-15.7","","-10.2","","6.7","","-27.8","","0.0","","115.1","","115.1","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-02","1879","02","-5.4","","-17.3","","-11.4","","2.8","","-32.8","","0.0","","102.9","","102.9","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-03","1879","03","1.5","","-9.6","","-4.1","","8.3","","-20.6","","20.6","","41.1","","61.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-04","1879","04","9.1","","-1.0","","4.1","","20.0","","-11.7","","5.3","","9.9","","15.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-05","1879","05","19.7","","7.2","","13.5","","28.9","","0.6","","56.9","","4.8","","61.7","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-06","1879","06","21.8","","11.8","","16.8","","32.8","","2.2","","71.4","","0.0","","71.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-07","1879","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-08","1879","08","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-09","1879","09","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-10","1879","10","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-11","1879","11","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1879-12","1879","12","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-01","1880","01","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-02","1880","02","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-03","1880","03","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-04","1880","04","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-05","1880","05","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-06","1880","06","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-07","1880","07","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-08","1880","08","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-09","1880","09","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-10","1880","10","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-11","1880","11","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1880-12","1880","12","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-01","1881","01","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-02","1881","02","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-03","1881","03","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-04","1881","04","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-05","1881","05","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-06","1881","06","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-07","1881","07","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-08","1881","08","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-09","1881","09","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-10","1881","10","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-11","1881","11","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1881-12","1881","12","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-01","1882","01","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-02","1882","02","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-03","1882","03","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-04","1882","04","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-05","1882","05","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-06","1882","06","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-07","1882","07","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-08","1882","08","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-09","1882","09","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-10","1882","10","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-11","1882","11","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1882-12","1882","12","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-01","1883","01","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-02","1883","02","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-03","1883","03","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-04","1883","04","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-05","1883","05","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-06","1883","06","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-07","1883","07","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-08","1883","08","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-09","1883","09","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-10","1883","10","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-11","1883","11","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1883-12","1883","12","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-01","1884","01","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-02","1884","02","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-03","1884","03","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-04","1884","04","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-05","1884","05","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-06","1884","06","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-07","1884","07","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-08","1884","08","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-09","1884","09","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-10","1884","10","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-11","1884","11","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1884-12","1884","12","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-01","1885","01","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-02","1885","02","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-03","1885","03","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-04","1885","04","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-05","1885","05","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-06","1885","06","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-07","1885","07","","M","","M","","M","","M","","M","","M","","M","","M","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-08","1885","08","22.1","","11.9","","17.0","","28.9","","5.6","S","45.2","","0.0","","45.2","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-09","1885","09","20.0","","8.1","","14.1","","26.7","","1.7","","122.4","","0.0","","122.4","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-10","1885","10","13.3","","3.9","","8.6","","25.6","","-5.6","","84.3","","0.0","T","84.3","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-11","1885","11","5.7","","-0.8","","2.5","","16.7","","-12.8","","54.9","","0.0","T","54.9","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1885-12","1885","12","-0.6","","-9.7","","-5.2","","","M","","M","0.0","T","0.0","T","0.0","T","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-01","1886","01","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-02","1886","02","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-03","1886","03","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-04","1886","04","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-05","1886","05","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-06","1886","06","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-07","1886","07","","","","","","","","","","","","","","","","","","","","","",""
"-75.70","44.60","BROCKVILLE","6100969","1886-08","1886","08","","","","","","","","","","","","","","","","","","","","","",""
