"","Year","Species","Location","Count"
"42",1977,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",4
"43",1978,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",267
"44",1979,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",266
"45",1980,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",5847
"46",1981,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",3484
"47",1984,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",86
"48",1987,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",2
"49",1988,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",5
"50",1991,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",55
"51",1992,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",1
"52",1993,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",828
"53",1994,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",305
"54",1995,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",19
"55",1996,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",12
"56",1997,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",236
"57",1998,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",170
"58",1999,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",38
"59",2000,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",82201
"60",2001,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",23130
"61",2002,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",49
"62",2003,"Long-Tailed Duck","Western Lake Ontario - Lake Erie",21
"63",1968,"Ruddy Duck","Western Lake Ontario - Lake Erie",26496
"64",1969,"Ruddy Duck","Western Lake Ontario - Lake Erie",786
"65",1970,"Ruddy Duck","Western Lake Ontario - Lake Erie",3
"66",1971,"Ruddy Duck","Western Lake Ontario - Lake Erie",7
"67",1972,"Ruddy Duck","Western Lake Ontario - Lake Erie",25
"68",1974,"Ruddy Duck","Western Lake Ontario - Lake Erie",1894
"69",1975,"Ruddy Duck","Western Lake Ontario - Lake Erie",1956
"70",1976,"Ruddy Duck","Western Lake Ontario - Lake Erie",716
"71",1977,"Ruddy Duck","Western Lake Ontario - Lake Erie",198
"72",1978,"Ruddy Duck","Western Lake Ontario - Lake Erie",2425
"73",1979,"Ruddy Duck","Western Lake Ontario - Lake Erie",2592
"74",1980,"Ruddy Duck","Western Lake Ontario - Lake Erie",9
"75",1982,"Ruddy Duck","Western Lake Ontario - Lake Erie",4878
"76",1984,"Ruddy Duck","Western Lake Ontario - Lake Erie",2608
"77",1986,"Ruddy Duck","Western Lake Ontario - Lake Erie",12904
"78",1987,"Ruddy Duck","Western Lake Ontario - Lake Erie",8173
"79",1988,"Ruddy Duck","Western Lake Ontario - Lake Erie",63
"80",1990,"Ruddy Duck","Western Lake Ontario - Lake Erie",2421
"81",1991,"Ruddy Duck","Western Lake Ontario - Lake Erie",4172
"82",1992,"Ruddy Duck","Western Lake Ontario - Lake Erie",4854
"83",1993,"Ruddy Duck","Western Lake Ontario - Lake Erie",7872
"84",1994,"Ruddy Duck","Western Lake Ontario - Lake Erie",9573
"85",1995,"Ruddy Duck","Western Lake Ontario - Lake Erie",5300
"86",1996,"Ruddy Duck","Western Lake Ontario - Lake Erie",8460
"87",1998,"Ruddy Duck","Western Lake Ontario - Lake Erie",23502
"88",1999,"Ruddy Duck","Western Lake Ontario - Lake Erie",9613
"89",2000,"Ruddy Duck","Western Lake Ontario - Lake Erie",24799
"90",2001,"Ruddy Duck","Western Lake Ontario - Lake Erie",22015
"91",2002,"Ruddy Duck","Western Lake Ontario - Lake Erie",22817
"92",2003,"Ruddy Duck","Western Lake Ontario - Lake Erie",9696
